graph_type,total_budget_B,seed,pure_hit_m,pure_hit_K0,pure_alt_K,hybrid_hit_m,hybrid_hit_K0,hybrid_alt_K,dij_mean_exp,pure_hit_mean_exp,pure_alt_mean_exp,hybrid_half_mean_exp,min_single_mean_exp,pure_hit_reduction_pct,pure_alt_reduction_pct,hybrid_half_reduction_pct,wilcoxon_hyb_vs_minsingle_stat,wilcoxon_hyb_vs_minsingle_p,hit_prep_time_s,hybrid_hit_prep_time_s,alt_prep_time_s
community_sbm,32,42,8,32,8,4,16,4,5330.0,573.4,535.7,623.8,451.4,89.24,89.95,88.30,335.0,1.280285e-13,61.39,84.12,0.55
community_sbm,32,123,8,32,8,4,16,4,5330.0,568.8,535.7,611.6,438.6,89.33,89.95,88.52,699.5,5.745642e-10,49.97,54.79,0.55
community_sbm,32,456,8,32,8,4,16,4,5330.0,631.5,535.7,596.5,466.2,88.15,89.95,88.81,859.0,7.942741e-08,48.75,56.27,0.55
community_sbm,32,789,8,32,8,4,16,4,5330.0,638.0,535.7,595.1,463.3,88.03,89.95,88.83,803.5,2.530967e-08,66.82,30.65,0.55
community_sbm,32,1024,8,32,8,4,16,4,5330.0,602.5,535.7,599.7,458.8,88.70,89.95,88.75,647.0,4.868618e-10,62.13,48.81,0.55
community_sbm,64,42,16,64,16,8,32,8,5330.0,307.3,292.0,330.7,241.4,94.23,94.52,93.80,1003.5,7.784132e-07,62.08,58.68,0.28
community_sbm,64,123,16,64,16,8,32,8,5330.0,304.2,292.0,334.0,234.8,94.29,94.52,93.73,427.5,2.328488e-12,88.54,54.12,0.28
community_sbm,64,456,16,64,16,8,32,8,5330.0,292.4,292.0,351.2,234.3,94.51,94.52,93.41,444.5,3.598224e-12,134.76,88.98,0.28
community_sbm,64,789,16,64,16,8,32,8,5330.0,323.7,292.0,353.9,239.7,93.93,94.52,93.36,457.0,2.147657e-11,137.94,63.94,0.28
community_sbm,64,1024,16,64,16,8,32,8,5330.0,365.7,292.0,343.5,258.3,93.14,94.52,93.56,648.0,4.977435e-10,72.79,58.32,0.28
community_sbm,128,42,32,128,32,16,64,16,5330.0,156.2,157.9,172.9,130.6,97.07,97.04,96.76,646.5,1.030152e-08,97.04,55.87,0.39
community_sbm,128,123,32,128,32,16,64,16,5330.0,169.7,157.9,168.5,128.7,96.82,97.04,96.84,830.5,5.801437e-07,109.64,70.89,0.39
community_sbm,128,456,32,128,32,16,64,16,5330.0,173.0,157.9,170.8,140.4,96.75,97.04,96.79,925.5,3.813288e-06,109.21,88.43,0.39
community_sbm,128,789,32,128,32,16,64,16,5330.0,164.9,157.9,178.8,131.1,96.91,97.04,96.65,768.5,4.434810e-07,126.00,81.45,0.39
community_sbm,128,1024,32,128,32,16,64,16,5330.0,158.5,157.9,190.7,126.8,97.03,97.04,96.42,425.5,4.101141e-11,121.16,101.51,0.39
powerlaw_ba,32,42,8,32,8,4,16,4,4763.6,512.9,480.9,502.5,417.6,89.23,89.90,89.45,650.5,1.152981e-10,52.72,61.50,0.19
powerlaw_ba,32,123,8,32,8,4,16,4,4763.6,492.0,480.9,519.8,407.6,89.67,89.90,89.09,298.0,2.992623e-14,34.15,22.95,0.19
powerlaw_ba,32,456,8,32,8,4,16,4,4763.6,561.8,480.9,527.7,439.2,88.21,89.90,88.92,905.5,4.295892e-08,34.79,21.74,0.19
powerlaw_ba,32,789,8,32,8,4,16,4,4763.6,592.8,480.9,511.9,436.8,87.56,89.90,89.25,1068.5,5.497167e-07,43.65,16.21,0.19
powerlaw_ba,32,1024,8,32,8,4,16,4,4763.6,566.3,480.9,509.8,417.6,88.11,89.90,89.30,715.5,1.363698e-09,45.30,16.92,0.19
powerlaw_ba,64,42,16,64,16,8,32,8,4763.6,319.9,274.1,303.2,247.7,93.28,94.25,93.63,783.0,9.793136e-09,43.17,32.84,0.07
powerlaw_ba,64,123,16,64,16,8,32,8,4763.6,297.1,274.1,292.5,242.5,93.76,94.25,93.86,996.5,4.097067e-07,33.85,28.56,0.07
powerlaw_ba,64,456,16,64,16,8,32,8,4763.6,304.6,274.1,306.7,235.8,93.60,94.25,93.56,836.0,1.058399e-08,36.15,34.28,0.07
powerlaw_ba,64,789,16,64,16,8,32,8,4763.6,316.3,274.1,314.0,245.7,93.36,94.25,93.41,693.0,2.985358e-10,33.51,32.26,0.07
powerlaw_ba,64,1024,16,64,16,8,32,8,4763.6,300.5,274.1,293.0,243.7,93.69,94.25,93.85,579.0,9.919609e-11,38.14,37.78,0.07
powerlaw_ba,128,42,32,128,32,16,64,16,4763.6,157.7,146.0,178.0,128.1,96.69,96.93,96.26,467.5,2.806997e-11,50.60,31.36,0.13
powerlaw_ba,128,123,32,128,32,16,64,16,4763.6,159.2,146.0,176.0,130.1,96.66,96.93,96.31,297.5,1.166251e-13,51.50,40.22,0.13
powerlaw_ba,128,456,32,128,32,16,64,16,4763.6,174.3,146.0,171.9,131.2,96.34,96.93,96.39,167.0,2.839978e-15,40.02,36.40,0.13
powerlaw_ba,128,789,32,128,32,16,64,16,4763.6,163.5,146.0,175.3,127.5,96.57,96.93,96.32,263.0,2.833555e-14,50.31,39.85,0.13
powerlaw_ba,128,1024,32,128,32,16,64,16,4763.6,165.2,146.0,169.1,131.8,96.53,96.93,96.45,346.5,1.133910e-12,41.13,46.16,0.13
ogbn_arxiv,32,42,8,32,8,4,16,4,78616.5,9746.3,10885.5,12190.5,8527.5,87.60,86.15,84.49,51.5,1.820614e-17,39.86,18.04,1.06
ogbn_arxiv,32,123,8,32,8,4,16,4,78616.5,12454.8,10885.5,11946.3,9587.0,84.16,86.15,84.80,662.0,2.484810e-10,46.40,18.24,1.06
ogbn_arxiv,32,456,8,32,8,4,16,4,78616.5,13047.4,10885.5,12048.5,9624.4,83.40,86.15,84.67,518.0,5.172737e-12,42.75,33.88,1.06
ogbn_arxiv,32,789,8,32,8,4,16,4,78616.5,11725.2,10885.5,11573.2,9265.3,85.09,86.15,85.28,836.0,6.347507e-09,39.90,28.20,1.06
ogbn_arxiv,32,1024,8,32,8,4,16,4,78616.5,11927.1,10885.5,13459.9,9277.4,84.83,86.15,82.88,119.0,1.310583e-16,36.21,31.86,1.06
ogbn_arxiv,64,42,16,64,16,8,32,8,78616.5,5694.5,6818.6,6511.6,5071.5,92.76,91.33,91.72,444.5,1.370120e-12,47.01,48.00,1.80
ogbn_arxiv,64,123,16,64,16,8,32,8,78616.5,6126.9,6818.6,7414.9,5229.0,92.21,91.33,90.57,434.5,1.063668e-12,49.74,45.51,1.80
ogbn_arxiv,64,456,16,64,16,8,32,8,78616.5,5441.2,6818.6,7513.0,4906.3,93.08,91.33,90.44,601.0,3.706940e-11,46.64,32.97,1.80
ogbn_arxiv,64,789,16,64,16,8,32,8,78616.5,5493.4,6818.6,7494.5,5075.5,93.01,91.33,90.47,246.0,4.652751e-15,47.20,37.57,1.80
ogbn_arxiv,64,1024,16,64,16,8,32,8,78616.5,6559.2,6818.6,6765.7,5762.0,91.66,91.33,91.39,1250.5,1.175078e-05,25.53,46.91,1.80
ogbn_arxiv,128,42,32,128,32,16,64,16,78616.5,3257.8,3804.8,3851.4,3009.8,95.86,95.16,95.10,671.5,3.078537e-10,52.41,42.49,3.46
ogbn_arxiv,128,123,32,128,32,16,64,16,78616.5,2930.8,3804.8,4025.8,2765.2,96.27,95.16,94.88,366.5,1.848638e-13,61.17,47.34,3.46
ogbn_arxiv,128,456,32,128,32,16,64,16,78616.5,3122.9,3804.8,3697.9,2918.6,96.03,95.16,95.30,972.5,2.620380e-07,56.13,45.98,3.46
ogbn_arxiv,128,789,32,128,32,16,64,16,78616.5,3337.2,3804.8,3794.5,3033.4,95.76,95.16,95.17,931.5,1.195932e-07,64.95,43.02,3.46
ogbn_arxiv,128,1024,32,128,32,16,64,16,78616.5,2946.9,3804.8,4183.4,2804.0,96.25,95.16,94.68,64.5,3.983769e-17,67.65,42.77,3.46
